age,education_level,years_experience,job_level,gender,industry,city,hours_per_week,remote_ratio,salary
58,1,17,1,2,3,1,59,0,57828.95205425197
48,2,31,4,2,2,0,49,50,92735.98237061074
34,2,30,5,0,4,3,39,100,94909.8822051446
27,3,10,3,1,4,3,49,100,59001.97243852626
40,5,25,2,0,4,1,37,50,84189.65237729342
58,1,27,5,1,2,3,32,100,92108.65334076293
38,2,26,3,1,5,3,40,0,80888.72120443589
42,1,18,4,0,4,1,44,0,76390.72414639403
30,4,26,5,1,5,4,49,50,95815.8463613345
30,4,19,5,0,4,1,57,50,81943.69792757812
43,5,2,3,1,1,1,41,0,50562.95464212419
55,2,15,3,1,1,0,32,100,65381.449959129044
59,3,38,1,0,1,3,36,50,91410.98111840236
43,2,28,1,2,2,3,51,0,75755.66886348095
22,1,14,5,2,3,4,30,0,73535.04969786377
41,4,29,2,0,0,1,39,50,87083.71828920148
21,1,39,4,0,4,2,46,100,105235.39933536998
43,5,0,3,2,0,4,35,0,51917.241033107566
49,4,28,1,2,3,4,48,100,82190.63113399221
57,3,29,4,1,1,3,54,0,95568.69169549273
21,4,39,5,1,1,3,41,50,118570.88077114486
40,2,31,3,1,1,3,58,0,87625.5391506441
52,2,9,3,2,1,3,57,100,53452.546772262795
31,4,26,1,0,4,4,31,0,75020.40174726972
41,5,7,2,1,3,1,41,0,56182.76842205041
44,2,35,3,0,3,3,58,50,98478.08700861674
46,2,34,2,2,3,0,48,100,87885.19641946154
47,3,35,4,1,0,4,38,100,104260.50638142889
35,4,35,3,2,1,2,57,100,102466.39071745363
34,2,24,3,0,2,2,35,50,79117.91549478774
22,5,19,2,1,3,1,46,100,72447.71665567788
56,1,16,1,0,0,4,31,0,57502.79559873097
26,4,22,5,0,4,4,36,100,89418.90778078209
40,3,24,4,1,1,4,35,0,85445.7650174692
28,2,30,3,1,0,0,43,0,88382.48606958539
58,5,5,1,2,2,0,46,0,47069.78517823534
37,4,34,3,1,2,3,55,50,98205.66647215723
23,5,3,4,1,4,2,47,50,53711.344264474974
44,5,39,5,2,3,0,35,50,118735.20804515555
33,3,19,3,1,3,2,41,50,77488.98246346456
28,4,0,2,1,0,4,35,0,42601.76508201909
45,2,25,1,2,0,0,51,0,69467.31448106343
21,3,33,5,0,3,2,43,100,106933.68442379916
39,2,9,3,2,3,0,42,50,56729.75928956491
47,1,22,5,0,0,4,38,100,83619.13230150056
26,5,23,2,1,1,4,47,50,81431.10912592741
27,1,12,3,2,2,4,39,50,59026.72732958598
54,5,28,5,0,2,3,39,100,102488.8197573967
33,3,26,3,0,4,2,56,50,87146.37366527978
36,2,30,3,1,2,3,43,100,89248.75262633355
55,2,9,5,1,0,1,38,0,66680.59598432474
59,3,30,3,0,1,1,38,0,91944.4915899863
23,4,38,2,2,0,0,55,100,95276.12484833373
21,1,9,5,0,3,0,54,100,67042.94838064411
25,1,23,5,2,3,0,38,0,84953.52939800722
23,2,32,2,2,2,3,32,0,87221.47657090871
48,2,13,2,0,1,4,55,50,58589.67682444879
37,2,34,2,2,4,0,38,50,90679.63200706833
45,3,33,3,0,0,0,42,0,96137.37466909071
